Título,Nome da Rua,Número,Bairro,Cidade,Preço,Área,Quartos,Banheiros,Garagens
Residencial bellas,Rua João Francisco dos Santos  Pioneiros,,,Balneário Camboriú,R$ 2.490.000,137,3  Quartos,4  Banheiros,2  Garagens
Apartamento mobiliado,Rua Egidio Alfredo Crispim  Pioneiros,,,Balneário Camboriú,R$ 1.690.000 Cond.: R$ 520,115,3  Quartos,2  Banheiros,4  Garagens
Apartamento em,Avenida Atlântica,,4520  Centro,Balneário Camboriú,R$ 3.300.000 Cond.: R$ 1.000,140,3  Quartos,4  Banheiros,1  Garagem
Apartamento,Avenida Atlântica - Até 549/550,,500  Barra Norte,Balneário Camboriú,R$ 18.900.000 Cond.: R$ 1.980,301,5  Quartos,7  Banheiros,4  Garagens
Residencial majestic,Rua 4450,,64  Centro,Balneário Camboriú,R$ 6.450.000,257,3  Quartos,4  Banheiros,4  Garagens
Apartamento,Rua 902  Centro,,,Balneário Camboriú,R$ 1.550.000,121,3  Quartos,3  Banheiros,2  Garagens
Apartamento 3,Avenida Brasil,,30  Centro,Balneário Camboriú,R$ 2.990.000 Cond.: R$ 2.129,122,3  Quartos,5  Banheiros,3  Garagens
Porto di,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 550.000,,,,
Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.000.000 Cond.: R$ 743,250,3  Quartos,2  Banheiros,3  Garagens
Sala no,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 1.228.442,,,,
Apartamento,Rua 1931  Centro,,,Balneário Camboriú,R$ 1.220.000 Cond.: R$ 620,90,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.150.000 Cond.: R$ 1.100,151,4  Quartos,5  Banheiros,3  Garagens
Sala comercial,5ª Avenida,,3450  Vila Real,Balneário Camboriú,R$ 610.000 Cond.: R$ 233,,,,
Apartamento,Rua 3100,,233  Centro,Balneário Camboriú,R$ 2.300.000,--,4  Quartos,3  Banheiros,3  Garagens
Apartamento para,Rua Carlos Drummond de Andrade,,199  Praia dos Amores,Balneário Camboriú,R$ 1.950.000,100,3  Quartos,2  Banheiros,2  Garagens
Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 5.800.000,180,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Avenida 3ª - Até 309 - Lado ÍMpar,,1  Centro,Balneário Camboriú,R$ 2.515.044,136,4  Quartos,4  Banheiros,3  Garagens
Casa a,Avenida das Arapongas,,455  Ariribá,Balneário Camboriú,R$ 2.300.000 Cond.: R$ 660,258,3  Quartos,3  Banheiros,2  Garagens
Casa em,Endereço não disponível  São Judas Tadeu,,,Balneário Camboriú,R$ 1.620.000 Cond.: R$ 500,--,3  Quartos,1  Banheiro,2  Garagens
Oportunidade: apartamento,Rua 2028,,111  Centro,Balneário Camboriú,R$ 950.000,94,2  Quartos,2  Banheiros,1  Garagem
"03 suíte,",Endereço não disponível  Barra Norte,,,Balneário Camboriú,R$ 2.450.000,228,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Avenida Brasil,,2801  Centro,Balneário Camboriú,R$ 799.000,50,1  Quarto,1  Banheiro,1  Garagem
Apartamento,4450,,100  Barra Sul,Balneário Camboriú,R$ 4.000.000,218,4  Quartos,6  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 6.690.000 Cond.: R$ 2.000,399,3  Quartos,2  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.000.000 Cond.: R$ 1.069,154,3  Quartos,4  Banheiros,2  Garagens
Apartamento para,Rua 1400,,370  Centro,Balneário Camboriú,R$ 1.800.000,150,3  Quartos,4  Banheiros,2  Garagens
Apartamento 4,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.700.000,143,4  Quartos,6  Banheiros,3  Garagens
2 dormitórios,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 980.000 Cond.: R$ 494,62,2  Quartos,2  Banheiros,1  Garagem
Casa,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,R$ 13.000.000 Cond.: R$ 10,550,4  Quartos,5  Banheiros,5  Garagens
Apartamento á,Rua 901,,300  Centro,Balneário Camboriú,R$ 1.999.999,80,2  Quartos,2  Banheiros,1  Garagem
"Riomaggiore, barra",Rua: Bruno Silva,,51  Barra Norte,Balneário Camboriú,R$ 3.551.500,,,,
Casa comercial,Rua 3050,,45  Centro,Balneário Camboriú,R$ 3.500.000,,,,
Casa mobiliada,Endereço não disponível  Estados,,,Balneário Camboriú,R$ 3.500.000,,,,
Apartamento triplex,Avenida Atlântica,,2700  Centro,Balneário Camboriú,R$ 13.999.999 Cond.: R$ 2.900,714,5  Quartos,6  Banheiros,3  Garagens
Apartamento,Rua 1201,,310  Centro,Balneário Camboriú,R$ 3.400.000,185,4  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua Isidoro Caetano,,--  Pioneiros,Balneário Camboriú,R$ 2.450.000 Cond.: R$ 1.200,122,3  Quartos,3  Banheiros,3  Garagens
"Oportunidade, excelente",Avenida Brasil,,3020  Centro,Balneário Camboriú,R$ 850.000 Cond.: R$ 800,86,2  Quartos,1  Banheiro,1  Garagem
Apartamento semimobiliado,Rua 3160  Centro,,,Balneário Camboriú,R$ 1.300.000,124,3  Quartos,2  Banheiros,2  Garagens
Apartamento espetacular,Avenida Normando Tedesco  Centro,,,Balneário Camboriú,R$ 8.500.000,265,4  Quartos,5  Banheiros,3  Garagens
Terreno em,Endereço não disponível  Estados,,,Balneário Camboriú,R$ 2.300.000,,,,
Apartamento,Avenida Atlântica,,684  Barra Norte,Balneário Camboriú,R$ 16.110.000,376,4  Quartos,5  Banheiros,4  Garagens
Excelente apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.980.000 Cond.: R$ 1.600,180,4  Quartos,1  Banheiro,3  Garagens
Casa a,Endereço não disponível  Praia do Estaleirinho,,,Balneário Camboriú,R$ 1.200.000,180,3  Quartos,3  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 8.800.000 Cond.: R$ 2.500,265,4  Quartos,4  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.000.000 Cond.: R$ 1.700,241,4  Quartos,6  Banheiros,2  Garagens
Skyline tower,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 5.352.000,151,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 1150  Centro,,,Balneário Camboriú,R$ 1.500.000 Cond.: R$ 350,--,3  Quartos,3  Banheiros,1  Garagem
Casa,Avenida das Arapongas,,1265  Ariribá,Balneário Camboriú,R$ 4.300.000,342,3  Quartos,4  Banheiros,6  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 9.990.000,183,4  Quartos,5  Banheiros,2  Garagens
Apartamento em,Endereço não disponível  Vila Real,,,Balneário Camboriú,R$ 650.000,85,2  Quartos,1  Banheiro,2  Garagens
Cobertura,Endereço não disponível  Barra Norte,,,Balneário Camboriú,R$ 5.990.000,251,3  Quartos,4  Banheiros,5  Garagens
Apartamento,Rua Alvin Bauer,,100  Centro,Balneário Camboriú,R$ 3.580.000 Cond.: R$ 0,170,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 3130,,229  Centro,Balneário Camboriú,R$ 2.624.396,135,4  Quartos,1  Banheiro,3  Garagens
Apartamento,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,R$ 982.675,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.890.000,117,3  Quartos,4  Banheiros,3  Garagens
Apartamento a,Rua 1021,,50  Centro,Balneário Camboriú,R$ 1.060.000 Cond.: R$ 490,97,3  Quartos,2  Banheiros,1  Garagem
